"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"21:25:46.3822701","System","4","RegCloseKey","HKLM\System\CurrentControlSet\Control\DeviceClasses\{4d1e55b2-f16f-11cf-88cb-001111000030}\##?#HID#MSHW0231&Col08#4&20999191&0&0007#{4d1e55b2-f16f-11cf-88cb-001111000030}\#","SUCCESS",""
"21:25:46.3822868","System","4","RegOpenKey","HKLM\System\CurrentControlSet\Control\DeviceClasses\{4d1e55b2-f16f-11cf-88cb-001111000030}\##?#HID#MSHW0231&Col08#4&20999191&0&0007#{4d1e55b2-f16f-11cf-88cb-001111000030}\#","SUCCESS","Desired Access: Maximum Allowed, Granted Access: All Access"
"21:25:46.3822952","System","4","RegCloseKey","HKLM\System\CurrentControlSet\Control\DeviceClasses\{4d1e55b2-f16f-11cf-88cb-001111000030}\##?#HID#MSHW0231&Col08#4&20999191&0&0007#{4d1e55b2-f16f-11cf-88cb-001111000030}\#","SUCCESS",""
"21:25:46.3823059","System","4","RegOpenKey","HKLM\System\CurrentControlSet\Control\DeviceClasses\{4d1e55b2-f16f-11cf-88cb-001111000030}\##?#HID#MSHW0231&Col08#4&20999191&0&0007#{4d1e55b2-f16f-11cf-88cb-001111000030}\#","SUCCESS","Desired Access: Maximum Allowed, Granted Access: All Access"
"21:25:46.3823134","System","4","RegCloseKey","HKLM\System\CurrentControlSet\Control\DeviceClasses\{4d1e55b2-f16f-11cf-88cb-001111000030}\##?#HID#MSHW0231&Col08#4&20999191&0&0007#{4d1e55b2-f16f-11cf-88cb-001111000030}\#","SUCCESS",""
"21:25:46.3823243","System","4","RegOpenKey","HKLM\System\CurrentControlSet\Control\DeviceClasses\{4d1e55b2-f16f-11cf-88cb-001111000030}\##?#HID#MSHW0231&Col08#4&20999191&0&0007#{4d1e55b2-f16f-11cf-88cb-001111000030}\#","SUCCESS","Desired Access: Maximum Allowed, Granted Access: All Access"
"21:25:46.3823315","System","4","RegCloseKey","HKLM\System\CurrentControlSet\Control\DeviceClasses\{4d1e55b2-f16f-11cf-88cb-001111000030}\##?#HID#MSHW0231&Col08#4&20999191&0&0007#{4d1e55b2-f16f-11cf-88cb-001111000030}\#","SUCCESS",""
"21:25:46.3823464","System","4","RegOpenKey","HKLM\System\CurrentControlSet\Control\DeviceClasses\{4d1e55b2-f16f-11cf-88cb-001111000030}\##?#HID#MSHW0231&Col08#4&20999191&0&0007#{4d1e55b2-f16f-11cf-88cb-001111000030}\#","SUCCESS","Desired Access: Maximum Allowed, Granted Access: All Access"
"21:25:46.3823538","System","4","RegCloseKey","HKLM\System\CurrentControlSet\Control\DeviceClasses\{4d1e55b2-f16f-11cf-88cb-001111000030}\##?#HID#MSHW0231&Col08#4&20999191&0&0007#{4d1e55b2-f16f-11cf-88cb-001111000030}\#","SUCCESS",""
"21:25:46.3823661","System","4","RegOpenKey","HKLM\System\CurrentControlSet\Control\DeviceClasses\{4d1e55b2-f16f-11cf-88cb-001111000030}\##?#HID#MSHW0231&Col08#4&20999191&0&0007#{4d1e55b2-f16f-11cf-88cb-001111000030}\#","SUCCESS","Desired Access: Maximum Allowed, Granted Access: All Access"
