"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"21:05:52.7211674","System","4","RegOpenKey","HKLM\System\CurrentControlSet\Enum\ACPI\PNP0200\4&34ff65f&0","SUCCESS","Desired Access: Read"
"21:05:52.7211836","System","4","RegOpenKey","HKLM\System\CurrentControlSet\Enum\ACPI\PNP0200\4&34ff65f&0\Properties\{83da6326-97a6-4088-9453-a1923f573b29}\0013","NAME NOT FOUND","Desired Access: Query Value"
"21:05:52.7212105","System","4","RegQueryValue","HKLM\System\CurrentControlSet\Enum\ACPI\PNP0200\4&34ff65f&0\ConfigFlags","SUCCESS","Type: REG_DWORD, Length: 4, Data: 0"
"21:05:52.7212198","System","4","RegCloseKey","HKLM\System\CurrentControlSet\Enum\ACPI\PNP0200\4&34ff65f&0","SUCCESS",""
"21:05:52.7212345","System","4","RegOpenKey","HKLM\System\CurrentControlSet\Enum\ACPI\PNP0C04\4&34ff65f&0","SUCCESS","Desired Access: Read"
"21:05:52.7212482","System","4","RegOpenKey","HKLM\System\CurrentControlSet\Enum\ACPI\PNP0C04\4&34ff65f&0\Properties\{83da6326-97a6-4088-9453-a1923f573b29}\0013","NAME NOT FOUND","Desired Access: Query Value"
"21:05:52.7212753","System","4","RegQueryValue","HKLM\System\CurrentControlSet\Enum\ACPI\PNP0C04\4&34ff65f&0\ConfigFlags","SUCCESS","Type: REG_DWORD, Length: 4, Data: 0"
"21:05:52.7212839","System","4","RegCloseKey","HKLM\System\CurrentControlSet\Enum\ACPI\PNP0C04\4&34ff65f&0","SUCCESS",""
"21:05:52.7212993","System","4","RegOpenKey","HKLM\System\CurrentControlSet\Enum\ACPI\PNP0000\4&34ff65f&0","SUCCESS","Desired Access: Read"
"21:05:52.7213129","System","4","RegOpenKey","HKLM\System\CurrentControlSet\Enum\ACPI\PNP0000\4&34ff65f&0\Properties\{83da6326-97a6-4088-9453-a1923f573b29}\0013","NAME NOT FOUND","Desired Access: Query Value"
"21:05:52.7213358","System","4","RegQueryValue","HKLM\System\CurrentControlSet\Enum\ACPI\PNP0000\4&34ff65f&0\ConfigFlags","SUCCESS","Type: REG_DWORD, Length: 4, Data: 0"
"21:05:52.7213445","System","4","RegCloseKey","HKLM\System\CurrentControlSet\Enum\ACPI\PNP0000\4&34ff65f&0","SUCCESS",""
"21:05:52.7213590","System","4","RegOpenKey","HKLM\System\CurrentControlSet\Enum\ACPI\PNP0800\4&34ff65f&0","SUCCESS","Desired Access: Read"
"21:05:52.7213721","System","4","RegOpenKey","HKLM\System\CurrentControlSet\Enum\ACPI\PNP0800\4&34ff65f&0\Properties\{83da6326-97a6-4088-9453-a1923f573b29}\0013","NAME NOT FOUND","Desired Access: Query Value"
"21:05:52.7213933","System","4","RegQueryValue","HKLM\System\CurrentControlSet\Enum\ACPI\PNP0800\4&34ff65f&0\ConfigFlags","SUCCESS","Type: REG_DWORD, Length: 4, Data: 0"
"21:05:52.7214015","System","4","RegCloseKey","HKLM\System\CurrentControlSet\Enum\ACPI\PNP0800\4&34ff65f&0","SUCCESS",""
"21:05:52.7214162","System","4","RegOpenKey","HKLM\System\CurrentControlSet\Enum\ACPI\PNP0100\4&34ff65f&0","SUCCESS","Desired Access: Read"
